"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","d8840792-f058-4ccd-800c-b26e6edaa670","vjhrmizwqhmafkxbmfwa","1743133831345000"
"LOG","connection received: host=2600:1f18:2a66:6e01:3dd4:e1d7:b147:81a8 port=55710","d608cd6e-77cb-46c6-9dc8-2e0fe5201ec4","vjhrmizwqhmafkxbmfwa","1743133831314000"
"LOG","connection received: host=2600:1f18:2a66:6e01:aa4:907f:bed2:ae10 port=58390","30bafdea-a1e6-4a29-8bf3-d857ec0d5957","vjhrmizwqhmafkxbmfwa","1743133831313000"
"LOG","connection received: host=2600:1f18:2a66:6e01:3dd4:e1d7:b147:81a8 port=55706","a24bfcc3-3999-424f-9e4b-bad0bde87802","vjhrmizwqhmafkxbmfwa","1743133831310000"
"LOG","connection received: host=2600:1f18:2a66:6e01:aa4:907f:bed2:ae10 port=58376","f3ed2da9-e526-481e-98cb-7ad1db1d8e7d","vjhrmizwqhmafkxbmfwa","1743133831309000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","447ef97e-cf8b-4c64-a2bc-d24162797068","vjhrmizwqhmafkxbmfwa","1743133830509000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","e4e5e614-6844-4b3f-9044-41920eacc862","vjhrmizwqhmafkxbmfwa","1743133830509000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","c92b4efd-1b7e-42c6-9cd7-5756da4ab2e3","vjhrmizwqhmafkxbmfwa","1743133830508000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","718653ce-f60a-4eda-bf4e-208d9de7f7f1","vjhrmizwqhmafkxbmfwa","1743133830508000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","efc261db-3a07-44a2-90c5-ef6ee08e0a7f","vjhrmizwqhmafkxbmfwa","1743133830349000"
